rail,capability,current_state,evidence,launch_impact,classification,next_action
Premium purchase checkout,Real IAP/subscription purchase,NOT_LIVE,"lib/screens/premium_features_screen.dart:288 onPressed:null; :290 'Coming Soon'; :303 'In-app purchase is not yet available'",Cannot monetize premium users,P0_BLOCKER,"Implement real store purchase flow (App Store/Play), server receipt validation, entitlement sync"
Premium entitlement model,Entitlement storage and checks,PARTIAL_LIVE,"lib/services/premium_service.dart:13 pro_subscription; :92-96 hasActivePremiumPlan() with legacy fallback",Can gate features locally but not tied to real purchase yet,P1_RISK,"Bind entitlement to verified purchase state instead of debug/local toggles"
Token wallet ledger,Balance + transactions + conversions,LIVE,"lib/screens/token_wallet_screen.dart:126 Current Balance; :50 Recent Transactions; lib/services/token_service.dart conversion/spend flows",Core token UX exists,SUPPORTING,"Keep and harden; ensure wallet cannot drift from server state"
Token spend server enforcement,Callable validated spend endpoint,LIVE,"functions/src/index.ts:349 spendUserTokens https.onCall; npm test:http-guards:emulator PASS",Protects token balance integrity,SUPPORTING,"Keep as mandatory path when Firebase enabled"
Token acquisition (cash purchase),Buy token packs with real money,NOT_LIVE,"No purchase flow in token wallet; only premium upsell at token_wallet_screen.dart:42-47",Limits direct token monetization,P1_RISK,"Add token-pack SKU model + purchase + server credit pipeline"
Ad revenue rail,Ad display in free tier,PARTIAL_NOT_PROD,"lib/services/ad_service.dart test ad IDs at lines 25/26/31/32; consent TODO at line 110",Cannot safely ship monetized ads in production,P0_BLOCKER,"Replace with production AdMob IDs and implement GDPR/UMP consent flow"
Ad suppression for premium,No ads for active premium,PARTIAL_LIVE,"lib/services/ad_service.dart shouldShowAds + setPremiumStatus; sync via hasActivePremiumPlan in service_sync/banner widget",Feature logic present but depends on non-live premium purchase,P1_RISK,"Tie suppression to server-verified entitlement"
Usage quota monetization guard,Instant/batch cost gating,LIVE_WITH_WARNINGS,"lib/screens/image_capture_screen.dart preflight checks at 389/466; token_service canAffordAnalysisWithPricing",Supports free-vs-paid usage shaping,SUPPORTING,"Maintain enforcement on; add rate limiting and App Check"
AI cost control backend boundary,Authenticated backend AI gateway,PARTIAL_LIVE,"functions/src/index.ts generateDisposal onRequest; auth toggles in env; diagnostic endpoint exists",Risk if unauthenticated/public abuse paths remain,P1_RISK,"Require auth + App Check + per-user/IP throttles before scale"
Money rail verdict,End-to-end ability to charge users today,NOT_READY,"Premium checkout disabled + token purchase absent + ads non-production",Revenue launch blocked by monetization plumbing,P0_BLOCKER,"Close premium+ads rails first, then optimize infra"
